Country Name,Country Code,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)",female_male_ratio,female_advantage_points
Sub-Saharan Africa,SSF,2018,76.08911,80.83589,0.9412788057383917,-4.746780000000001
Low income,LIC,2018,78.14374,82.96232,0.9419184516537145,-4.818580000000011
Lower middle income,LMC,2018,87.53525,90.2249,0.9701894931443538,-2.6896500000000003
World,WLD,2018,89.45854,91.46353,0.9780788036499356,-2.0049900000000065
Middle East & North Africa,MEA,2013,93.60181,95.53886,0.9797250040454742,-1.9370499999999993
South Asia,SAS,2018,90.74347,92.60965,0.979848968223074,-1.86618
East Asia & Pacific,EAS,2018,95.56074,96.36167,0.9916882926582737,-0.8009300000000081
High income,HIC,2018,96.35158,96.19551,1.0016224249967591,0.1560699999999997
Upper middle income,UMC,2018,96.22284,96.0665,1.0016274143431894,0.15634000000000015
Latin America & Caribbean,LCN,2018,95.31432,94.57273,1.0078414781935552,0.741589999999988
